week_date,symbol,ratio,price,ma_value,ref_date,data_days,note
2026-03-07,POWERINDIA.NS,1.2871,25860.0,20091.6,2026-03-06,1473,
2026-03-07,BHARATFORG.NS,1.2329,1923.9,1560.47,2026-03-06,2762,
2026-03-07,SOLARINDS.NS,1.165,15152.0,13006.53,2026-03-06,2762,
2026-03-07,NATIONALUM.NS,1.1537,396.15,343.37,2026-03-06,2763,
2026-03-07,ASTRAL.NS,1.1286,1689.2,1496.67,2026-03-06,2762,
2026-03-07,POLYCAB.NS,1.1262,8552.0,7593.64,2026-03-06,1705,
2026-03-07,ABB.NS,1.1213,6062.0,5406.42,2026-03-06,2762,
2026-03-07,KEI.NS,1.1145,4921.0,4415.55,2026-03-06,2762,
2026-03-07,BEL.NS,1.1115,468.45,421.47,2026-03-06,2763,
2026-03-07,VEDL.NS,1.1047,721.0,652.69,2026-03-06,2763,
2026-03-07,ENRIN.NS,1.1018,2920.6,2650.64,2026-03-06,177,
2026-03-07,CGPOWER.NS,1.1005,715.45,650.1,2026-03-06,2763,
2026-03-07,ONGC.NS,1.0993,278.95,253.75,2026-03-06,2763,
2026-03-07,SUPREMEIND.NS,1.099,3947.7,3592.19,2026-03-06,2762,
2026-03-07,CUMMINSIND.NS,1.0932,4800.7,4391.49,2026-03-06,2762,
2026-03-07,UNIONBANK.NS,1.0923,188.65,172.72,2026-03-06,2763,
2026-03-07,NTPC.NS,1.0885,380.6,349.65,2026-03-06,2763,
2026-03-07,POWERGRID.NS,1.0878,299.15,275.0,2026-03-06,2763,
2026-03-07,INDIANB.NS,1.0837,939.4,866.82,2026-03-06,2763,
2026-03-07,TIINDIA.NS,1.0818,2722.9,2516.89,2026-03-06,2062,
2026-03-09,POWERINDIA.NS,1.2871,25860.0,20091.6,2026-03-06,1473,
2026-03-09,BHARATFORG.NS,1.2329,1923.9,1560.47,2026-03-06,2762,
2026-03-09,SOLARINDS.NS,1.165,15152.0,13006.53,2026-03-06,2762,
2026-03-09,NATIONALUM.NS,1.1537,396.15,343.37,2026-03-06,2763,
2026-03-09,ASTRAL.NS,1.1286,1689.2,1496.67,2026-03-06,2762,
2026-03-09,POLYCAB.NS,1.1262,8552.0,7593.64,2026-03-06,1705,
2026-03-09,ABB.NS,1.1213,6062.0,5406.42,2026-03-06,2762,
2026-03-09,KEI.NS,1.1145,4921.0,4415.55,2026-03-06,2762,
2026-03-09,BEL.NS,1.1115,468.45,421.47,2026-03-06,2763,
2026-03-09,VEDL.NS,1.1047,721.0,652.69,2026-03-06,2763,
2026-03-09,ENRIN.NS,1.1018,2920.6,2650.64,2026-03-06,177,
2026-03-09,CGPOWER.NS,1.1005,715.45,650.1,2026-03-06,2763,
2026-03-09,ONGC.NS,1.0993,278.95,253.75,2026-03-06,2763,
2026-03-09,SUPREMEIND.NS,1.099,3947.7,3592.19,2026-03-06,2762,
2026-03-09,CUMMINSIND.NS,1.0932,4800.7,4391.49,2026-03-06,2762,
2026-03-09,UNIONBANK.NS,1.0923,188.65,172.72,2026-03-06,2763,
2026-03-09,NTPC.NS,1.0885,380.6,349.65,2026-03-06,2763,
2026-03-09,POWERGRID.NS,1.0878,299.15,275.0,2026-03-06,2763,
2026-03-09,INDIANB.NS,1.0837,939.4,866.82,2026-03-06,2763,
2026-03-09,TIINDIA.NS,1.0818,2722.9,2516.89,2026-03-06,2062,
