# calculation_date: 2026-03-09
# ma_days: 60
# offset_days: 0
rank,symbol,ratio,price,ma_value,ref_date,data_days,in_universe,note
1,POWERINDIA.NS,1.2871,25860.0,20091.6,2026-03-06,1473,True,
2,BHARATFORG.NS,1.2329,1923.9,1560.47,2026-03-06,2762,True,
3,SOLARINDS.NS,1.165,15152.0,13006.53,2026-03-06,2762,True,
4,NATIONALUM.NS,1.1537,396.15,343.37,2026-03-06,2763,True,
5,ASTRAL.NS,1.1286,1689.2,1496.67,2026-03-06,2762,True,
6,POLYCAB.NS,1.1262,8552.0,7593.64,2026-03-06,1705,True,
7,ABB.NS,1.1213,6062.0,5406.42,2026-03-06,2762,True,
8,KEI.NS,1.1145,4921.0,4415.55,2026-03-06,2762,True,
9,BEL.NS,1.1115,468.45,421.47,2026-03-06,2763,True,
10,VEDL.NS,1.1047,721.0,652.69,2026-03-06,2763,True,
11,ENRIN.NS,1.1018,2920.6,2650.64,2026-03-06,177,True,
12,CGPOWER.NS,1.1005,715.45,650.1,2026-03-06,2763,True,
13,ONGC.NS,1.0993,278.95,253.75,2026-03-06,2763,True,
14,SUPREMEIND.NS,1.099,3947.7,3592.19,2026-03-06,2762,True,
15,CUMMINSIND.NS,1.0932,4800.7,4391.49,2026-03-06,2762,True,
16,UNIONBANK.NS,1.0923,188.65,172.72,2026-03-06,2763,True,
17,NTPC.NS,1.0885,380.6,349.65,2026-03-06,2763,True,
18,POWERGRID.NS,1.0878,299.15,275.0,2026-03-06,2763,True,
19,INDIANB.NS,1.0837,939.4,866.82,2026-03-06,2763,True,
20,TIINDIA.NS,1.0818,2722.9,2516.89,2026-03-06,2062,True,
21,OIL.NS,1.0793,484.5,448.9,2026-03-06,2763,False,
22,LUPIN.NS,1.0763,2343.8,2177.68,2026-03-06,2763,False,
23,TORNTPHARM.NS,1.0753,4317.8,4015.46,2026-03-06,2762,False,
24,PFC.NS,1.0719,407.85,380.48,2026-03-06,2763,False,
25,TORNTPOWER.NS,1.0699,1481.3,1384.51,2026-03-06,2763,False,
26,SBIN.NS,1.0695,1143.0,1068.73,2026-03-06,2763,False,
27,JINDALSTEL.NS,1.0687,1180.4,1104.52,2026-03-06,2762,False,
28,APLAPOLLO.NS,1.0659,2152.8,2019.78,2026-03-06,2762,False,
29,APOLLOHOSP.NS,1.0652,7724.5,7251.78,2026-03-06,2763,False,
30,BLUESTARCO.NS,1.0599,1948.5,1838.38,2026-03-06,2761,False,
31,GLENMARK.NS,1.0541,2124.4,2015.46,2026-03-06,2762,False,
32,COALINDIA.NS,1.0513,440.45,418.98,2026-03-06,2763,False,
33,SIEMENS.NS,1.0474,3268.9,3120.83,2026-03-06,2762,False,
34,SUNPHARMA.NS,1.0474,1799.4,1717.89,2026-03-06,2763,False,
35,TATASTEEL.NS,1.0454,198.46,189.84,2026-03-06,2763,False,
36,HINDALCO.NS,1.0436,958.9,918.85,2026-03-06,2763,False,
37,DRREDDY.NS,1.0404,1303.8,1253.12,2026-03-06,2763,False,
38,JSWSTEEL.NS,1.0403,1233.7,1185.92,2026-03-06,2762,False,
39,AUROPHARMA.NS,1.0397,1231.9,1184.91,2026-03-06,2761,False,
40,FEDERALBNK.NS,1.0387,286.5,275.82,2026-03-06,2763,False,
41,SAIL.NS,1.0384,154.94,149.21,2026-03-06,2763,False,
42,SONACOMS.NS,1.0377,514.95,496.24,2026-03-06,1166,False,
43,MARICO.NS,1.0371,785.25,757.14,2026-03-06,2762,False,
44,BAJAJ-AUTO.NS,1.0334,9816.0,9498.33,2026-03-06,2762,False,
45,TITAN.NS,1.0327,4244.6,4110.1,2026-03-06,2763,False,
46,INDUSTOWER.NS,1.0324,452.05,437.85,2026-03-06,2763,False,
47,VOLTAS.NS,1.0321,1478.4,1432.37,2026-03-06,2763,False,
48,COLPAL.NS,1.031,2204.6,2138.28,2026-03-06,2762,False,
49,EICHERMOT.NS,1.0235,7620.5,7445.78,2026-03-06,2763,False,
50,BIOCON.NS,1.023,390.7,381.92,2026-03-06,2762,False,
51,MAZDOCK.NS,1.022,2471.9,2418.8,2026-03-06,1340,False,
52,BANKINDIA.NS,1.0188,159.58,156.63,2026-03-06,2763,False,
