symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
FORTIS.NS,R2,Healthcare,Named Sector,2017-01-24,2017-01-25,182.0,189.0,49,6.78767157122636,161.6369852863209,False,324.8209999999999,3.8461538461538463,1,SMA Exit,1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2017-08-10,2017-08-14,589.1500244140625,614.9000244140625,17,18.674119949000843,533.1276645670599,False,417.2811491699231,4.3707033748508435,2,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2017-12-07,2017-12-11,15.135598182678224,16.081573486328125,422,0.7953214208105169,12.749633920246673,False,386.0279316959377,6.2500027566304714,2,SMA Exit,1.0,False,False
IDEA.NS,R2,Telecom,Named Sector,2018-01-25,2018-02-02,55.292259216308594,54.930477142333984,115,2.927765945748393,46.508961379063415,False,-54.28055318832321,-0.6543087207908858,5,Time Stop (Day 5 Loss),1.0,False,False
INDIGO.NS,R2,Others,Others,2018-02-05,2018-02-06,1159.300048828125,1155.0,8,36.76748249534574,1048.9976013420878,False,-52.91479101562436,-0.37091767851400437,1,SMA Exit,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2018-02-05,2018-02-09,4122.85009765625,4060.0,3,103.1876493471876,3813.287149614687,False,-213.09884326171778,-1.5244332480576703,4,RSI Overbought,1.0,False,False
HINDALCO.NS,R2,Metals & Mining,Named Sector,2018-03-08,2018-03-13,226.5,225.0,38,8.759778395148711,200.22066481455386,False,-74.15699999999742,-0.6622516556291391,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2018-03-21,2018-03-28,210.9600067138672,208.8099975585937,81,4.123997955603983,198.58801284705524,False,-208.15211192322022,-1.0191548572472464,5,Time Stop (Day 5 Loss),1.0,False,False
JINDALSTEL.NS,R2,Others,Others,2018-05-22,2018-05-29,239.0,235.0,30,11.052899644691676,205.84130106592497,False,-134.21999999999935,-1.6736401673640167,5,Time Stop (Day 5 Loss),1.0,False,False
DMART.NS,R2,Others,Others,2018-06-27,2018-07-02,1469.699951171875,1495.949951171875,7,43.51819794515104,1339.145357336422,False,162.99045068359555,1.7860788509293606,3,RSI Overbought,1.0,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2018-06-29,2018-07-04,335.0,337.29998779296875,25,11.270224581991316,301.18932625402607,False,40.69219512939708,0.6865635202891791,3,RSI Overbought,1.0,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2018-06-28,2018-07-05,731.7999877929688,714.5,13,23.889159536840594,660.1325091824469,False,-243.70174114990186,-2.364032260391761,5,Time Stop (Day 5 Loss),1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2019-01-15,2019-01-18,9.9399995803833,10.3100004196167,979,0.34166274131444563,8.915011356439964,False,342.4060716094973,3.7223426041546235,3,SMA Exit,1.0,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2019-07-23,2019-07-24,292.0,298.6000061035156,50,6.359583340511672,272.92124997846497,False,300.4703048706069,2.260276062847817,1,SMA Exit,1.0,False,False
ICICIBANK.NS,R2,Financial Services,Named Sector,2019-07-22,2019-08-01,409.75,415.4017759207913,40,8.276234238879763,384.92129728336073,False,193.06496579481973,1.3793229824994007,9,Initial Stop,1.0,False,False
ADANIPOWER.NS,Upgraded,Power,Named Sector,2019-10-03,2019-11-13,12.31999969482422,12.670000076293944,589,0.5717898468804788,10.604630154182784,True,191.4311148204788,2.8409122576258046,27,Chandelier Stop,1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2019-12-09,2020-01-21,713.4500122070312,726.3499755859375,19,17.716905488234854,660.2992957423266,False,217.74310443115428,1.808110331234096,30,Limbo Cap (Day 20),1.0,False,False
ADANIPOWER.NS,R2,Power,Named Sector,2020-02-03,2020-02-06,12.0,12.460000038146973,880,0.3845636773806723,10.846308967857983,False,383.27523353576726,3.833333651224772,3,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2020-09-01,2020-09-04,3925.0,3913.25,1,96.69403400391373,3634.917897988259,False,-19.58824999999979,-0.29936305732484075,3,SMA Exit,0.5,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2020-09-09,2020-09-11,3811.0,3915.5,1,97.6566293067577,3518.0301120797267,False,96.77350000000024,2.7420624508003146,2,SMA Exit,0.5,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2020-09-10,2020-09-15,222.0,234.5,14,11.387852637426152,187.83644208772154,False,168.60900000000038,5.63063063063063,3,SMA Exit,0.5,False,False
GODREJPROP.NS,R2,Realty,Named Sector,2020-09-10,2020-09-15,878.9500122070312,906.0,5,35.080592849922056,773.708233657265,False,126.32518890380925,3.0775342644397496,3,SMA Exit,0.5,False,False
BAJFINANCE.NS,R2,Financial Services,Named Sector,2020-09-22,2020-09-24,332.8999938964844,302.8900146484375,15,11.23157036748407,299.20528279403214,False,-459.6865388488768,-9.014713066464793,3,Initial Stop,0.5,False,False
IDEA.NS,R2,Telecom,Named Sector,2020-09-23,2020-09-24,10.0,8.594470856859767,359,0.904472297850137,7.286583106449589,False,-511.260377424956,-14.055291431402333,2,Initial Stop,1.0,False,False
ATGL.NS,R2,Energy,Named Sector,2020-10-16,2020-10-21,182.5500030517578,192.1999969482422,20,8.33630686302563,157.54108246268092,False,185.50487792968806,5.286219520767876,3,SMA Exit,0.5,False,False
AUBANK.NS,R2,Financial Services,Named Sector,2021-01-28,2021-02-02,433.0,475.2250061035156,10,15.55673077238128,386.32980768285614,False,413.1678109741215,9.751733511204533,3,SMA Exit,0.5,False,False
LUPIN.NS,R2,Healthcare,Named Sector,2021-02-02,2021-02-03,1000.0,1037.699951171875,4,37.07857911376074,888.7642626587178,False,142.6490048828132,3.7699951171875004,1,SMA Exit,0.5,False,False
KOTAKBANK.NS,R2,Financial Services,Named Sector,2021-03-18,2021-03-25,376.2000122070313,358.5799865722656,28,11.88447187975952,340.5465965677528,False,-513.9345577392596,-4.683685556360107,5,Time Stop (Day 5 Loss),1.0,False,False
AXISBANK.NS,R2,Financial Services,Named Sector,2021-03-19,2021-03-26,709.0,707.0,13,26.94909012016831,628.1527296394951,False,-44.40799999999945,-0.2820874471086037,5,Time Stop (Day 5 Loss),1.0,False,False
SBILIFE.NS,R2,Financial Services,Named Sector,2021-03-26,2021-04-01,870.0,881.5999755859375,6,24.96713724327901,795.098588270163,False,59.09025366210972,1.3333305271192528,3,RSI Overbought,0.5,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-15,853.7999877929688,875.0,5,32.0447425519334,757.6657601371685,False,97.3560610961922,2.483018565253467,1,SMA Exit,0.5,False,False
BAJAJFINSV.NS,R2,Financial Services,Named Sector,2021-04-13,2021-04-15,920.0,975.1699829101562,5,29.160376181414772,832.5188714557557,False,266.3740646362312,5.996737272843071,1,SMA Exit,0.5,False,False
HDFCLIFE.NS,R2,Financial Services,Named Sector,2021-04-20,2021-04-22,670.0999755859375,672.0,9,18.45057105206511,614.7482624297422,False,5.021319946289623,0.28354342386016546,1,SMA Exit,0.5,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-04-22,2021-04-26,841.5999755859375,867.4000244140625,5,31.593872230253428,746.8183588951772,False,120.45524414062584,3.065595244363277,2,RSI Overbought,0.5,False,False
OBEROIRLTY.NS,R2,Realty,Named Sector,2021-04-20,2021-04-28,550.0,544.9000244140625,6,25.196072840814022,474.41178147755795,False,-37.169253662108986,-0.9272682883522728,5,Time Stop (Day 5 Loss),0.5,False,False
TIINDIA.NS,R2,Auto,Named Sector,2021-07-28,2021-07-30,1090.0,1140.0,9,36.328762151969684,981.0137135440909,False,429.9300000000003,4.587155963302752,2,SMA Exit,1.0,False,False
ABCAPITAL.NS,R2,Others,Others,2021-07-30,2021-08-03,117.0,119.4499969482422,83,3.7118256294693444,105.86452311159196,False,183.72439695739922,2.0940144856770955,2,SMA Exit,1.0,False,False
PHOENIXLTD.NS,R2,Realty,Named Sector,2021-08-20,2021-08-25,410.0249938964844,418.4500122070313,21,16.1504729128348,361.57357515798,False,159.52740939331306,2.0547572552794007,3,RSI Overbought,1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-08-23,2021-08-25,487.0,510.0,19,17.45001814176763,434.6499455746971,False,418.0570000000007,4.722792607802875,2,SMA Exit,1.0,False,False
JSWSTEEL.NS,R2,Metals & Mining,Named Sector,2021-08-23,2021-08-30,696.0,683.0499877929688,15,24.610395333607453,622.1688139991777,False,-214.93593292236255,-1.8606339377918464,5,Time Stop (Day 5 Loss),1.0,False,False
PRESTIGE.NS,R2,Realty,Named Sector,2021-11-23,2021-11-26,436.0,463.0,13,25.06994452599284,360.79016642202146,False,339.3130000000001,6.192660550458716,3,SMA Exit,1.0,False,False
CHOLAFIN.NS,R2,Financial Services,Named Sector,2021-11-23,2021-11-30,585.4000244140625,541.0,12,26.191025121233157,506.82694905036305,False,-546.3170932617186,-7.584561421654071,5,Time Stop (Day 5 Loss),1.0,False,False
SBILIFE.NS,R2,Financial Services,Named Sector,2021-11-29,2021-12-01,1112.0,1160.800048828125,11,33.08663169089181,1012.7401049273246,False,511.79973657226765,4.388493599651529,2,SMA Exit,1.0,False,False
VOLTAS.NS,R2,Consumer Durables,Named Sector,2021-11-29,2021-12-01,1159.0,1202.0,10,36.00333812377442,1050.9899856286768,False,406.39000000000124,3.710094909404659,2,SMA Exit,1.0,False,False
JUBLFOOD.NS,R2,Consumer Services,Named Sector,2021-11-29,2021-12-02,723.0,736.0,12,25.920241415911953,645.2392757522641,False,138.4920000000002,1.7980636237897647,3,RSI Overbought,1.0,False,False
JSWSTEEL.NS,R2,Metals & Mining,Named Sector,2021-11-29,2021-12-02,631.7000122070312,638.0,13,22.393438974129527,564.5196952846427,False,65.39374114990278,0.9973068974556253,3,SMA Exit,1.0,False,False
POLYCAB.NS,R2,Capital Goods,Named Sector,2021-11-29,2021-12-02,2205.0,2331.449951171875,8,83.64174346701104,1954.074769598967,False,975.3080097656239,5.7346916631235825,3,RSI Overbought,1.0,False,False
NAUKRI.NS,R2,Consumer Services,Named Sector,2021-11-30,2021-12-02,1171.0,1196.0,8,49.675909517820934,1021.9722714465372,False,181.06400000000212,2.134927412467976,2,RSI Overbought,1.0,False,False
ULTRACEMCO.NS,R2,Construction Materials,Named Sector,2021-12-07,2021-12-09,7285.0,7476.7998046875,3,192.39474291563076,6707.815771253107,False,531.1140146484431,2.6328044569320523,2,RSI Overbought,1.0,False,False
ADANIPORTS.NS,R2,Logistics,Named Sector,2021-10-29,2021-12-14,697.0,755.9000244140625,13,25.450799048061732,620.6476028558147,False,746.8126170654305,8.450505654815279,30,Limbo Cap (Day 20),1.0,False,False
MFSL.NS,R2,Financial Services,Named Sector,2021-12-20,2021-12-22,942.5,971.0,13,27.08067261128042,861.2579821661587,False,345.6245000000017,3.023872679045093,2,SMA Exit,1.0,False,False
GMRAIRPORT.NS,R2,Others,Others,2021-12-21,2021-12-23,35.99209213256836,39.55076217651367,187,1.5738026064327635,31.270684313270067,False,651.3447844619759,9.887366454936249,2,SMA Exit,1.0,False,False
TRENT.NS,R2,Consumer Services,Named Sector,2021-12-21,2021-12-23,1024.0,1044.0,31,42.384845864085925,896.8454624077422,False,555.8920000000035,1.953125,2,SMA Exit,1.0,False,False
PHOENIXLTD.NS,R2,Realty,Named Sector,2021-12-22,2021-12-24,481.875,500.0249938964844,33,29.835955817855282,392.36713254643416,False,566.5470987854042,3.7665356983625164,2,SMA Exit,1.0,False,False
VBL.NS,R2,FMCG,Named Sector,2021-12-20,2021-12-27,114.4000015258789,111.5999984741211,78,4.070657698077812,102.18802843164548,False,-236.02823803710817,-2.447555082527173,5,Time Stop (Day 5 Loss),1.0,False,False
INDHOTEL.NS,R2,Others,Others,2021-12-21,2021-12-28,184.0,179.35000610351562,48,8.870971185749996,157.38708644275002,False,-240.64050732421674,-2.5271705959154214,5,Time Stop (Day 5 Loss),1.0,False,False
FORTIS.NS,R2,Healthcare,Named Sector,2022-01-21,2022-01-31,278.75,267.5,56,9.387964821839258,250.58610553448221,False,-660.5899999999983,-4.0358744394618835,5,Time Stop (Day 5 Loss),1.0,False,False
