# calculation_date: 2026-03-05
# ma_days: 60
# offset_days: 0
rank,symbol,ratio,price,ma_value,ref_date,data_days,in_universe,note
1,POWERINDIA.NS,1.2648,25265.0,19976.27,2026-03-05,1472,True,
2,BHARATFORG.NS,1.222,1895.8,1551.42,2026-03-05,2761,True,
3,NATIONALUM.NS,1.1682,398.6,341.19,2026-03-05,2762,True,
4,ONGC.NS,1.1305,286.3,253.26,2026-03-05,2762,True,
5,VEDL.NS,1.1282,733.1,649.77,2026-03-05,2762,True,
6,KEI.NS,1.1267,4960.0,4402.08,2026-03-05,2761,True,
7,SOLARINDS.NS,1.1229,14555.0,12961.87,2026-03-05,2761,True,
8,UNIONBANK.NS,1.1162,192.05,172.05,2026-03-05,2762,True,
9,OIL.NS,1.1136,498.7,447.81,2026-03-05,2762,True,
10,POLYCAB.NS,1.1116,8413.0,7568.49,2026-03-05,1704,True,
11,ABB.NS,1.0993,5926.0,5390.62,2026-03-05,2761,True,
12,SBIN.NS,1.0955,1167.4,1065.64,2026-03-05,2762,True,
13,ASTRAL.NS,1.0931,1630.6,1491.78,2026-03-05,2761,True,
14,INDIANB.NS,1.0929,944.4,864.09,2026-03-05,2762,True,
15,TIINDIA.NS,1.0927,2746.8,2513.71,2026-03-05,2061,True,
16,BEL.NS,1.0923,458.85,420.09,2026-03-05,2762,True,
17,TORNTPOWER.NS,1.0909,1506.5,1380.98,2026-03-05,2762,True,
18,TORNTPHARM.NS,1.0882,4359.6,4006.33,2026-03-05,2761,True,
19,POWERGRID.NS,1.0881,298.6,274.43,2026-03-05,2762,True,
20,COALINDIA.NS,1.0822,452.4,418.05,2026-03-05,2762,True,
21,NTPC.NS,1.0805,376.7,348.64,2026-03-05,2762,False,
22,SUPREMEIND.NS,1.0797,3865.9,3580.49,2026-03-05,2761,False,
23,JINDALSTEL.NS,1.0789,1188.6,1101.64,2026-03-05,2761,False,
24,PFC.NS,1.0772,408.6,379.33,2026-03-05,2762,False,
25,LUPIN.NS,1.076,2338.0,2172.96,2026-03-05,2762,False,
26,ENRIN.NS,1.0756,2851.5,2650.99,2026-03-05,176,False,
27,CUMMINSIND.NS,1.0733,4706.2,4384.71,2026-03-05,2761,False,
28,SAIL.NS,1.0726,159.64,148.83,2026-03-05,2762,False,
29,APLAPOLLO.NS,1.0709,2155.6,2012.82,2026-03-05,2761,False,
30,HINDALCO.NS,1.0697,980.95,917.0,2026-03-05,2762,False,
31,TATASTEEL.NS,1.0693,202.38,189.27,2026-03-05,2762,False,
32,APOLLOHOSP.NS,1.061,7680.0,7238.43,2026-03-05,2762,False,
33,CGPOWER.NS,1.0589,687.3,649.04,2026-03-05,2762,False,
34,BANKINDIA.NS,1.0576,165.3,156.29,2026-03-05,2762,False,
35,ASHOKLEY.NS,1.0539,200.71,190.44,2026-03-05,2762,False,
36,JSWSTEEL.NS,1.0495,1242.3,1183.72,2026-03-05,2761,False,
37,DRREDDY.NS,1.0474,1311.6,1252.21,2026-03-05,2762,False,
38,FEDERALBNK.NS,1.0467,288.2,275.35,2026-03-05,2762,False,
39,INDUSINDBK.NS,1.0452,940.6,899.92,2026-03-05,2762,False,
40,MOTHERSON.NS,1.043,126.36,121.15,2026-03-05,2762,False,
41,SHRIRAMFIN.NS,1.0403,1034.8,994.75,2026-03-05,2762,False,
42,SUNPHARMA.NS,1.0381,1783.0,1717.63,2026-03-05,2762,False,
43,EICHERMOT.NS,1.0341,7691.5,7438.19,2026-03-05,2762,False,
44,IOC.NS,1.034,173.24,167.54,2026-03-05,2762,False,
45,GLENMARK.NS,1.0333,2078.8,2011.86,2026-03-05,2761,False,
46,INDUSTOWER.NS,1.0309,450.55,437.04,2026-03-05,2762,False,
47,AXISBANK.NS,1.0306,1346.0,1306.08,2026-03-05,2762,False,
48,TITAN.NS,1.0293,4222.6,4102.58,2026-03-05,2762,False,
49,SIEMENS.NS,1.0277,3205.0,3118.55,2026-03-05,2761,False,
50,MANKIND.NS,1.0251,2203.2,2149.24,2026-03-05,701,False,
51,SONACOMS.NS,1.0234,507.05,495.45,2026-03-05,1165,False,
52,MARICO.NS,1.0228,773.4,756.14,2026-03-05,2761,False,
53,FORTIS.NS,1.022,912.3,892.64,2026-03-05,2762,False,
54,BAJAJ-AUTO.NS,1.0212,9683.0,9482.06,2026-03-05,2761,False,
55,MFSL.NS,1.0208,1746.9,1711.26,2026-03-05,2761,False,
56,AUROPHARMA.NS,1.0203,1207.7,1183.7,2026-03-05,2760,False,
57,BLUESTARCO.NS,1.0182,1867.0,1833.56,2026-03-05,2760,False,
58,COLPAL.NS,1.0158,2170.7,2137.02,2026-03-05,2761,False,
59,VOLTAS.NS,1.0124,1447.2,1429.44,2026-03-05,2762,False,
60,TVSMOTOR.NS,1.0112,3775.4,3733.45,2026-03-05,2762,False,
