symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
SRF.NS,S1,Chemicals,Named Sector,2017-01-18,2017-02-28,331.2300109863281,311.79998779296875,42,9.092885423245265,0.0,False,-843.0682340698222,-5.866021359447822,26,S1 EMA Bearish Cross,1.0,False,False
JUBLFOOD.NS,S1,Consumer Services,Named Sector,2017-02-06,2017-05-12,100.73500061035156,99.5,39,3.7379508291704657,0.0,False,-55.974188827514354,-1.2259895794596873,63,S1 EMA Bearish Cross,1.0,False,False
INDHOTEL.NS,S1,Others,Others,2017-01-27,2017-06-30,101.36685943603516,116.79421997070312,54,2.7423651967029987,0.0,False,821.2967705841074,15.219333636752348,103,S1 EMA Bearish Cross,1.0,False,False
HAVELLS.NS,S1,Consumer Durables,Named Sector,2017-01-17,2017-07-05,372.8500061035156,462.2000122070313,37,11.093324601567975,0.0,False,3275.053375152591,23.964061858888407,113,S1 EMA Bearish Cross,1.0,False,False
IDFCFIRSTB.NS,S1,Financial Services,Named Sector,2017-07-12,2017-08-08,63.84999847412109,58.04999923706055,71,2.0427064335208334,0.0,False,-420.4548456687917,-9.083789155314273,18,S1 EMA Bearish Cross,1.0,False,False
DLF.NS,S1,Realty,Named Sector,2017-01-19,2017-08-11,132.39999389648438,161.4499969482422,43,4.284598198919733,0.0,False,1236.5145816192626,21.941090929709762,138,S1 EMA Bearish Cross,1.0,False,False
ADANIPOWER.NS,S1,Power,Named Sector,2017-07-25,2017-08-11,6.630000114440918,5.420000076293945,124,0.2194625142935294,0.0,False,-151.53420475387566,-18.2503773342545,12,S1 Fixed Stop (15%),1.0,False,False
PNB.NS,S1,Financial Services,Named Sector,2017-07-21,2017-08-14,158.25,141.5,62,4.622837510771141,0.0,False,-1057.084499999999,-10.584518167456556,15,S1 EMA Bearish Cross,1.0,False,False
SIEMENS.NS,S1,Capital Goods,Named Sector,2017-01-13,2017-08-16,689.1961059570312,760.164306640625,40,16.137342563456723,0.0,False,2780.753610839849,10.297243421746545,144,S1 EMA Bearish Cross,1.0,False,False
IOC.NS,S1,Energy,Named Sector,2017-08-14,2017-10-03,139.81666564941406,135.03334045410156,58,4.606728738312092,0.0,False,-293.37416168212803,-3.4211409441750953,32,S1 EMA Bearish Cross,1.0,False,False
ADANIPOWER.NS,S1,Power,Named Sector,2017-09-01,2017-10-03,6.53000020980835,5.900000095367432,418,0.2892447930731352,0.0,False,-268.5357879638668,-9.647780921884657,20,S1 EMA Bearish Cross,1.0,False,False
