date,portfolio_value
2017-01-02,100000.0
2017-01-03,100000.0
2017-01-04,100000.0
2017-01-05,100000.0
2017-01-06,100000.0
2017-01-09,100000.0
2017-01-10,100000.0
2017-01-11,99990.02675941467
2017-01-12,99899.86520637512
2017-01-13,99581.81824897767
2017-01-16,99857.08037971497
2017-01-17,99825.39588212586
2017-01-18,100562.90888017273
2017-01-19,100985.19873207093
2017-01-20,99919.80194050599
2017-01-23,100875.70322377015
2017-01-24,101411.86569172669
2017-01-25,103145.93204457093
2017-01-27,102983.52841908265
2017-01-30,102959.35546833802
2017-01-31,100900.36186940003
2017-02-01,100555.38243824769
2017-02-02,101494.46482044984
2017-02-03,101805.16965443421
2017-02-06,103611.40304524232
2017-02-07,103474.02370411683
2017-02-08,105151.66836506654
2017-02-09,105015.89060932923
2017-02-10,104996.66439778138
2017-02-13,103560.06751698304
2017-02-14,103700.567013443
2017-02-15,101527.51680439759
2017-02-16,103150.96221607972
2017-02-17,104083.65745991516
2017-02-20,104096.92351216126
2017-02-21,105129.80145710755
2017-02-22,103995.51783436585
2017-02-23,103325.17237538147
2017-02-27,102919.20086354065
2017-02-28,103587.23343013001
2017-03-01,104008.27797816468
2017-03-02,102878.09047816468
2017-03-03,103521.61746333314
2017-03-06,103668.35713313294
2017-03-07,104333.68164179994
2017-03-08,104230.50921748353
2017-03-09,104140.64944575501
2017-03-10,103953.07953761292
2017-03-14,105993.8898300934
2017-03-15,106410.53051612855
2017-03-16,107366.19656990052
2017-03-17,108149.43951271058
2017-03-20,108254.40113685609
2017-03-21,108845.66231391908
2017-03-22,107666.25827644349
2017-03-23,109455.59971473695
2017-03-24,110325.85234687806
2017-03-27,111217.66365669252
2017-03-28,111308.61196754457
2017-03-29,111691.5124420929
2017-03-30,112578.85909126283
2017-03-31,112860.52045295716
2017-04-03,113178.80648658753
2017-04-05,114575.84201667787
2017-04-06,114580.28595588685
2017-04-07,114113.39811561586
2017-04-10,115980.85160682679
2017-04-11,116972.76489875795
2017-04-12,116940.40529487611
2017-04-13,116428.8693222809
2017-04-17,117115.82712409974
2017-04-18,115966.96492622377
2017-04-19,116579.95505378724
2017-04-20,119800.01368568421
2017-04-21,118890.29197547914
2017-04-24,119693.87504432679
2017-04-25,120025.4771637726
2017-04-26,119481.79371498109
2017-04-27,119373.72554634095
2017-04-28,118453.82044075013
2017-05-02,120554.7360901642
2017-05-03,120321.28866432191
2017-05-04,121164.6155381012
