date,portfolio_value
2017-01-31,100900.36186940003
2017-02-28,103587.23343013001
2017-03-31,112860.52045295716
2017-04-30,118453.82044075013
2017-05-31,119329.92017982484
2017-06-30,123623.0660233307
2017-07-31,134183.79171562198
2017-08-31,133479.92196901704
2017-09-30,130520.67812468007
2017-10-31,135849.54987025453
2017-11-30,142139.32849322513
2017-12-31,146594.29726987652
2018-01-31,146589.6268556233
2018-02-28,138151.41553248029
2018-03-31,137620.07349035074
2018-04-30,136539.00920902065
2018-05-31,127152.46770342832
2018-06-30,125663.06383952148
2018-07-31,125070.01925877198
2018-08-31,131654.6690810071
2018-09-30,124839.81502270517
2018-10-31,119537.87756491097
2018-11-30,119284.30325267038
2018-12-31,115635.63510102854
2019-01-31,114967.73984397898
2019-02-28,114084.59714053357
2019-03-31,112204.16267936103
2019-04-30,102692.86177814976
2019-05-31,99174.96188837543
2019-06-30,95275.1543903896
2019-07-31,94644.0031016399
2019-08-31,94644.0031016399
2019-09-30,95346.53426551931
2019-10-31,94179.1236497509
2019-11-30,95126.82627026862
2019-12-31,93992.89825898933
2020-01-31,102229.77200395393
2020-02-29,108628.05221073341
2020-03-31,108628.05221073341
2020-04-30,108628.05221073341
2020-05-31,108628.05221073341
2020-06-30,108628.05221073341
2020-07-31,108628.05221073341
2020-08-31,108628.05221073341
2020-09-30,108887.86357269762
2020-10-31,109082.6436945238
2020-11-30,112668.94207284642
2020-12-31,124328.45321986866
2021-01-31,123751.33624217701
2021-02-28,124506.76035023213
2021-03-31,124421.24301124288
2021-04-30,126568.3886623049
2021-05-31,129815.34812714485
2021-06-30,137872.29219223885
2021-07-31,136543.04348817392
2021-08-31,145625.57273647827
2021-09-30,147909.53454937882
2021-10-31,143221.11640186637
2021-11-30,148795.9733211779
2021-12-31,155631.80593392512
2022-01-31,155888.82187993953
2022-02-28,152809.0700039859
2022-03-31,152227.01455842925
2022-04-30,147490.32679116682
2022-05-31,146655.81232196384
2022-06-30,146655.81232196384
2022-07-31,145485.72079034767
2022-08-31,153375.99752685698
2022-09-30,169216.76952133045
2022-10-31,170140.4159403368
2022-11-30,176434.40016149386
2022-12-31,175300.83064843237
2023-01-31,175970.6202274729
2023-02-28,169321.3484796015
2023-03-31,168711.49916612494
2023-04-30,167497.42776124825
2023-05-31,177181.30381178536
2023-06-30,185266.34979664866
2023-07-31,192982.1131319758
2023-08-31,186681.52303041331
2023-09-30,188836.09773744456
2023-10-31,179256.26923774974
2023-11-30,192336.6350260188
2023-12-31,212340.21801905317
2024-01-31,225319.86324155302
2024-02-29,232015.68255844756
2024-03-31,236636.53454678223
2024-04-30,272432.36896124703
2024-05-31,300047.6337891889
2024-06-30,286642.9103021284
2024-07-31,287300.23981021554
2024-08-31,291325.40254068427
2024-09-30,296441.85485092597
2024-10-31,282777.0943974729
2024-11-30,287105.5441269651
2024-12-31,275171.63305144536
2025-01-31,271743.62837822735
2025-02-28,270485.9583518602
2025-03-31,266788.5338064501
2025-04-30,265997.5234005663
2025-05-31,265852.30902983877
2025-06-30,269378.77881011216
2025-07-31,261362.0761994555
2025-08-31,254672.21930416403
2025-09-30,255705.1952537261
2025-10-31,272880.93732643424
2025-11-30,286117.6399433776
2025-12-31,291731.9459993468
