date,portfolio_value
2017-01-02,100000.0
2017-01-03,100000.0
2017-01-04,100000.0
2017-01-05,100000.0
2017-01-06,100000.0
2017-01-09,100000.0
2017-01-10,100000.0
2017-01-11,99987.96023208619
2017-01-12,99878.11719955446
2017-01-13,99472.70037155153
2017-01-16,99835.23281173708
2017-01-17,99769.60954168704
2017-01-18,100768.19499731448
2017-01-19,101215.18066110232
2017-01-20,99802.50112619021
2017-01-23,100581.97297372439
2017-01-24,101418.89379586795
2017-01-25,103531.96813668826
2017-01-27,103388.59662120059
2017-01-30,102980.64805857852
2017-01-31,101477.64531199649
2017-02-01,103760.02452342227
2017-02-02,104186.99083201602
2017-02-03,104467.99396006778
2017-02-06,107021.13885766604
2017-02-07,107344.75396234133
2017-02-08,109306.95439416506
2017-02-09,109395.69156152346
2017-02-10,109665.93142968752
2017-02-13,107721.31258660891
2017-02-14,107996.81654626467
2017-02-15,105484.22462731936
2017-02-16,107479.59939843752
2017-02-17,108537.52427178957
2017-02-20,108729.3254421387
2017-02-21,110277.78936273196
2017-02-22,108802.64026910403
2017-02-23,107795.00071221926
2017-02-27,107239.56024438479
2017-02-28,108327.75714062502
2017-03-01,108824.13474987795
2017-03-02,107517.34927319338
2017-03-03,108184.60662030031
2017-03-06,108302.13249920656
2017-03-07,109336.39585827639
2017-03-08,109228.90164898684
2017-03-09,109054.84498547365
2017-03-10,108894.50825451662
2017-03-14,111730.91415356449
2017-03-15,112098.69771527102
2017-03-16,112936.72943066408
2017-03-17,112882.61993359377
2017-03-20,112965.4975504761
2017-03-21,113053.91754101565
2017-03-22,111451.80727337649
2017-03-23,112239.64282940676
2017-03-24,111769.67630718996
2017-03-27,111790.70600842287
2017-03-28,112547.87284039309
2017-03-29,113546.22552441408
2017-03-30,113947.8040385132
2017-03-31,114075.84542797854
2017-04-03,115041.10367535402
2017-04-05,116875.12052105715
2017-04-06,116311.45063732912
2017-04-07,116133.27484082033
2017-04-10,116673.28839825442
2017-04-11,117564.91116284182
2017-04-12,117101.50238751223
2017-04-13,116717.53333233645
2017-04-17,117133.61088513186
2017-04-18,116571.49249218752
2017-04-19,116808.51141308596
2017-04-20,118267.05332897951
2017-04-21,118563.07452343752
2017-04-24,119207.33238934328
2017-04-25,120140.2786478882
2017-04-26,119315.7934412842
2017-04-27,118872.18028210451
2017-04-28,118344.2598261719
2017-05-02,120387.42732189943
2017-05-03,120461.60208081057
2017-05-04,122001.38790844729
