date,portfolio_value
2017-01-31,101477.64531199649
2017-02-28,108327.75714062502
2017-03-31,114075.84542797854
2017-04-30,118344.2598261719
2017-05-31,119843.19641296388
2017-06-30,122540.06845623782
2017-07-31,134308.7078204079
2017-08-31,136240.57509237673
2017-09-30,135068.29530284216
2017-10-31,139196.24170135503
2017-11-30,141454.03287590033
2017-12-31,148334.3544073792
2018-01-31,145673.31069857793
2018-02-28,140737.344947197
2018-03-31,138258.34077375036
2018-04-30,143575.58899230772
2018-05-31,138493.53950155646
2018-06-30,138747.36828977976
2018-07-31,141069.20959190378
2018-08-31,150196.91644577036
2018-09-30,144427.96989984714
2018-10-31,138802.51232538425
2018-11-30,139015.64047833835
2018-12-31,134990.1408596555
2019-01-31,129356.1144393674
2019-02-28,127310.96802318393
2019-03-31,124721.7501951138
2019-04-30,119910.30126982846
2019-05-31,123751.02614677013
2019-06-30,121218.17843954053
2019-07-31,113986.90390540662
2019-08-31,113268.4910453526
2019-09-30,113915.73801315657
2019-10-31,111269.75953038374
2019-11-30,115546.46642610518
2019-12-31,117038.14411012617
2020-01-31,116670.50595625656
2020-02-29,112813.41266061751
2020-03-31,110388.87747998396
2020-04-30,110388.87747998396
2020-05-31,110388.87747998396
2020-06-30,110388.87747998396
2020-07-31,110388.87747998396
2020-08-31,110388.87747998396
2020-09-30,110659.37064309373
2020-10-31,110863.42600881639
2020-11-30,114487.15983984439
2020-12-31,126795.91092960803
2021-01-31,127317.31962482898
2021-02-28,143066.6001614806
2021-03-31,141646.49856503741
2021-04-30,144899.00510387486
2021-05-31,153196.75444113225
2021-06-30,158118.12802969426
2021-07-31,156127.48312671576
2021-08-31,158298.30396636878
2021-09-30,160001.42327016746
2021-10-31,151485.85489879907
2021-11-30,156748.3625400344
2021-12-31,162116.5683309817
2022-01-31,171804.58452943753
2022-02-28,160987.88671276427
2022-03-31,160351.13885839414
2022-04-30,174112.65435021068
2022-05-31,166252.5708074508
2022-06-30,165702.17133235314
2022-07-31,166877.46077507164
2022-08-31,178030.4705269189
2022-09-30,186732.11330223325
2022-10-31,194862.35897203305
2022-11-30,206045.38573356488
2022-12-31,194908.0833122392
2023-01-31,194952.53005961474
2023-02-28,190691.30607348497
2023-03-31,187081.05416332872
2023-04-30,194567.87802364596
2023-05-31,201811.73108605444
2023-06-30,206973.73892907202
2023-07-31,210008.45869957982
2023-08-31,210376.85461510718
2023-09-30,218435.1114319712
2023-10-31,216450.19936386362
2023-11-30,234166.51462472786
2023-12-31,268457.1744860522
2024-01-31,265518.304661888
2024-02-29,261201.38281313307
2024-03-31,256289.21407438643
2024-04-30,275901.22591315693
2024-05-31,289296.4141896767
2024-06-30,296999.9543249306
2024-07-31,297448.70626841206
2024-08-31,299311.4604532571
2024-09-30,306703.496619761
2024-10-31,299003.3132979532
2024-11-30,301144.96390769444
2024-12-31,296028.39699478255
2025-01-31,292292.3459309591
2025-02-28,271358.01810085046
2025-03-31,267550.39358168544
2025-04-30,275666.1412623495
2025-05-31,279775.4858427328
2025-06-30,286414.7405609945
2025-07-31,273720.24247823085
2025-08-31,265675.7005574543
2025-09-30,248965.0803486912
2025-10-31,259936.85461367536
2025-11-30,266221.17244857526
2025-12-31,273849.7926225102
