symbol,regime,sector,sector_bucket,entry_date,exit_date,entry_price,exit_price,shares,atr_at_entry,initial_stop,breakeven_hit,profit,profit_pct,hold_days,exit_reason,size_multiplier,deferred_exit,slippage_applied
SRF.NS,S1,Chemicals,Named Sector,2017-01-18,2017-02-28,331.2300109863281,311.79998779296875,42,9.092885423245265,0.0,False,-843.0682340698222,-5.866021359447822,26,S1 EMA Bearish Cross,1.0,False,False
JUBLFOOD.NS,S1,Consumer Services,Named Sector,2017-02-06,2017-05-12,100.73500061035156,99.5,39,3.7379508291704657,0.0,False,-55.974188827514354,-1.2259895794596873,63,S1 EMA Bearish Cross,1.0,False,False
DLF.NS,S1,Realty,Named Sector,2017-01-19,2017-05-30,132.39999389648438,175.0,43,4.284598198919733,0.0,False,1818.5820627136236,32.17523267925678,86,S1 Trailing Stop (15%),1.0,False,False
INDHOTEL.NS,S1,Others,Others,2017-01-27,2017-06-30,101.36685943603516,116.79421997070312,54,2.7423651967029987,0.0,False,821.2967705841074,15.219333636752348,103,S1 EMA Bearish Cross,1.0,False,False
HAVELLS.NS,S1,Consumer Durables,Named Sector,2017-01-17,2017-07-05,372.8500061035156,462.2000122070313,37,11.093324601567975,0.0,False,3275.053375152591,23.964061858888407,113,S1 EMA Bearish Cross,1.0,False,False
IDFCFIRSTB.NS,S1,Financial Services,Named Sector,2017-07-12,2017-08-08,63.84999847412109,58.04999923706055,45,2.0427064335208334,0.0,False,-266.48546556472684,-9.083789155314273,18,S1 EMA Bearish Cross,1.0,False,False
ADANIPOWER.NS,S1,Power,Named Sector,2017-07-25,2017-08-11,6.630000114440918,5.420000076293945,84,0.2194625142935294,0.0,False,-102.65220322036743,-18.2503773342545,12,S1 Trailing Stop (15%),1.0,False,False
SIEMENS.NS,S1,Capital Goods,Named Sector,2017-01-13,2017-08-16,689.1961059570312,760.164306640625,40,16.137342563456723,0.0,False,2780.753610839849,10.297243421746545,144,S1 EMA Bearish Cross,1.0,False,False
IOC.NS,S1,Energy,Named Sector,2017-08-14,2017-10-03,139.81666564941406,135.03334045410156,38,4.606728738312092,0.0,False,-192.21065765380808,-3.4211409441750953,32,S1 EMA Bearish Cross,1.0,False,False
ADANIPOWER.NS,S1,Power,Named Sector,2017-09-01,2017-10-03,6.53000020980835,5.900000095367432,378,0.2892447930731352,0.0,False,-242.83858337402307,-9.647780921884657,20,S1 EMA Bearish Cross,1.0,False,False
TATAELXSI.NS,S1,IT,Named Sector,2017-06-15,2017-10-05,771.0250244140625,799.3499755859375,33,26.352347530199605,0.0,False,882.9010136718789,3.6736746895342907,75,S1 EMA Bearish Cross,1.0,False,False
