date,portfolio_value
2017-01-31,102171.85396606445
2017-02-28,104893.549347229
2017-03-31,106748.43662265014
2017-04-30,110431.70201113891
2017-05-31,111131.14184922026
2017-06-30,113615.9690639572
2017-07-31,115625.47366318511
2017-08-31,119427.16353093718
2017-09-30,118785.48185583876
2017-10-31,122960.05269327163
2017-11-30,125418.94876829909
2017-12-31,128609.50473205373
2018-01-31,128033.08277134511
2018-02-28,123868.02421098514
2018-03-31,121983.81532083699
2018-04-30,128465.28649516104
2018-05-31,124547.91692540549
2018-06-30,121687.25187010762
2018-07-31,124032.98455373953
2018-08-31,129220.00589506338
2018-09-30,122408.36722159061
2018-10-31,122819.28496963749
2018-11-30,123289.32110472926
2018-12-31,304922.74177391833
