date,portfolio_value
2017-01-02,100000.0
2017-01-03,99955.21506726074
2017-01-04,99943.85741619873
2017-01-05,100214.27944378663
2017-01-06,100105.24526318359
2017-01-09,99983.01121624756
2017-01-10,100273.7827655487
2017-01-11,100577.25263085937
2017-01-12,100716.70257617187
2017-01-13,100636.32371600342
2017-01-16,100851.98225433349
2017-01-17,100856.59045440673
2017-01-18,101183.5768283081
2017-01-19,101628.70603210448
2017-01-20,100716.68869049072
2017-01-23,101550.18071014404
2017-01-24,101913.20053131103
2017-01-25,103098.16246063232
2017-01-27,102702.63322479247
2017-01-30,102635.13774139404
2017-01-31,102171.85396606445
2017-02-01,103494.85923034667
2017-02-02,103815.07535583495
2017-02-03,103844.02234680175
2017-02-06,104468.20167572021
2017-02-07,104589.46286041259
2017-02-08,105472.78978759765
2017-02-09,105659.38810760497
2017-02-10,105613.10129577636
2017-02-13,105388.62918121337
2017-02-14,104909.5673449707
2017-02-15,104136.22666961669
2017-02-16,104511.14025909423
2017-02-17,104958.56439239501
2017-02-20,105371.7121432495
2017-02-21,105726.96877319335
2017-02-22,105269.42508728027
2017-02-23,105466.59069854736
2017-02-27,105152.34832794189
2017-02-28,104893.549347229
2017-03-01,105213.77525360107
2017-03-02,103973.0214312744
2017-03-03,104266.92551452636
2017-03-06,104650.10579711913
2017-03-07,105066.93543273925
2017-03-08,104862.4767993164
2017-03-09,104769.52774078368
2017-03-10,104655.35942871093
2017-03-14,106087.62281839752
2017-03-15,105955.98964170074
2017-03-16,106656.9869103775
2017-03-17,106664.20838407135
2017-03-20,106560.4200921402
2017-03-21,106438.83561948394
2017-03-22,105420.70614102935
2017-03-23,105953.9542641983
2017-03-24,106295.36592343902
2017-03-27,106026.61907437896
2017-03-28,106347.75763944244
2017-03-29,106518.67483762359
2017-03-30,106586.20807065582
2017-03-31,106748.43662265014
2017-04-03,107254.06896212768
2017-04-05,108149.84896853637
2017-04-06,107856.70867160034
2017-04-07,108013.70697787475
2017-04-10,108312.85445407104
2017-04-11,108667.24634555053
2017-04-12,108531.16977694702
2017-04-13,108228.53953555298
2017-04-17,108323.64113619995
2017-04-18,108040.10890200805
2017-04-19,107968.23101809692
2017-04-20,108344.86058810425
2017-04-21,108307.90865328979
2017-04-24,109123.2692718811
2017-04-25,109832.35881045532
2017-04-26,110296.30105593872
2017-04-27,110838.63926699829
2017-04-28,110431.70201113891
2017-05-02,111264.15862277221
2017-05-03,110947.36014559936
2017-05-04,111538.6670151062
2017-05-05,110941.65414431762
2017-05-08,111127.10682681274
2017-05-09,111208.52664187622
2017-05-10,111981.09127810669
2017-05-11,111403.16468814087
