date,portfolio_value
2017-01-02,100000.0
2017-01-03,99955.21506341553
2017-01-04,99943.85656520844
2017-01-05,100214.28107997894
2017-01-06,100105.24677365876
2017-01-09,99983.01086515046
2017-01-10,100273.78116748811
2017-01-11,100577.25514765168
2017-01-12,100716.70490601349
2017-01-13,100677.06187775421
2017-01-16,100836.54308771515
2017-01-17,100852.69853662873
2017-01-18,101174.7211730423
2017-01-19,101695.87649988556
2017-01-20,100758.47097467804
2017-01-23,101507.54423975373
2017-01-24,101650.56416773224
2017-01-25,102800.96184229279
2017-01-27,102568.60958551789
2017-01-30,102501.79523157502
2017-01-31,101977.9482924881
2017-02-01,103300.11970209503
2017-02-02,103601.38967584992
2017-02-03,103491.27818460847
2017-02-06,103917.252048378
2017-02-07,104016.77388370514
2017-02-08,104934.41712558747
2017-02-09,105092.29043949128
2017-02-10,105121.7945822525
2017-02-13,104786.36942661286
2017-02-14,104278.06464756012
2017-02-15,103389.62351596833
2017-02-16,103789.19095981598
2017-02-17,104272.73099887848
2017-02-20,104656.78895175934
2017-02-21,105045.99209964753
2017-02-22,104568.31126010895
2017-02-23,104826.22572696686
2017-02-27,104497.57753360749
2017-02-28,104299.0595129776
2017-03-01,104589.63943851471
2017-03-02,103336.16575992585
2017-03-03,103619.5466879654
2017-03-06,104031.57476413727
2017-03-07,104348.8918341446
2017-03-08,104151.61687076569
2017-03-09,104022.46296298981
2017-03-10,103889.56100070954
2017-03-14,105132.99915412141
2017-03-15,105076.38849835968
2017-03-16,105841.9569721756
2017-03-17,105816.30375104523
2017-03-20,105789.91156964874
2017-03-21,105566.68888288116
2017-03-22,104508.14370923614
2017-03-23,105018.89309125519
2017-03-24,105527.99083142853
2017-03-27,105321.18950849152
2017-03-28,105629.21266370392
2017-03-29,105820.27733808136
2017-03-30,105951.05891449738
2017-03-31,106091.58807678986
2017-04-03,106444.19578095246
2017-04-05,107433.9543716507
2017-04-06,107156.57702942658
2017-04-07,107218.53408356477
2017-04-10,107550.59616394807
2017-04-11,108008.02672119904
2017-04-12,107851.78474732209
2017-04-13,107604.69054718781
2017-04-17,107649.80150147248
2017-04-18,107378.53725739289
2017-04-19,107443.37678070832
2017-04-20,107855.6390869217
2017-04-21,107786.48792572785
2017-04-24,108668.49730988313
2017-04-25,109339.03569336701
2017-04-26,109795.94497223664
2017-04-27,110337.2997924881
2017-04-28,110484.50722046662
2017-05-02,111395.44219513703
2017-05-03,111033.2042343216
2017-05-04,111872.59719391633
2017-05-05,111465.78802033234
2017-05-08,111661.07300873566
2017-05-09,111002.55810852814
2017-05-10,111624.62893982697
2017-05-11,111312.14441223908
2017-05-12,111021.65590973664
2017-05-15,111161.06646271516
2017-05-16,111611.11168213654
2017-05-17,111416.97983856965
2017-05-18,109871.16469116975
2017-05-19,109540.71509857941
2017-05-22,109589.26447495271
2017-05-23,109491.69786270906
2017-05-24,108447.59546097566
2017-05-25,109828.56705673982
2017-05-26,111146.46409043123
2017-05-29,110759.605020607
2017-05-30,110894.60345658113
2017-05-31,110845.57302854158
2017-06-01,111095.15764615632
2017-06-02,111536.97485349275
2017-06-05,113140.43242642976
2017-06-06,112636.30343625642
2017-06-07,113001.1560134659
2017-06-08,113996.62874600984
2017-06-09,114170.00517270662
2017-06-12,113014.3432311783
2017-06-13,113135.2426452408
2017-06-14,113598.84719083406
2017-06-15,113238.88834378816
2017-06-16,113727.10600278474
2017-06-19,114322.14996335603
2017-06-20,114695.03834531404
2017-06-21,114546.16593167878
2017-06-22,113674.69865415193
2017-06-23,112667.60397354889
2017-06-27,111686.26740280914
2017-06-28,111947.44042221832
2017-06-29,112592.25679032135
2017-06-30,113067.03179947662
2017-07-03,113702.88695009614
2017-07-04,114003.80629976655
2017-07-05,113966.2382600937
2017-07-06,113988.23108846284
2017-07-07,113918.0966585312
2017-07-10,114141.93128377534
2017-07-11,114131.28827077485
2017-07-12,114208.6179979477
2017-07-13,114703.70466024018
2017-07-14,114392.47435170747
2017-07-17,114248.74492818452
2017-07-18,112780.6032121811
2017-07-19,113412.58997518159
2017-07-20,113225.66262227632
2017-07-21,113405.03982750702
2017-07-24,113206.98625389862
2017-07-25,113361.54995934296
2017-07-26,114026.43379418182
2017-07-27,113558.31883446503
2017-07-28,114309.08154503632
2017-07-31,114828.42594899751
2017-08-01,114422.52282704927
2017-08-02,114573.38182057954
2017-08-03,114263.73770079805
2017-08-04,115316.36523375704
2017-08-07,115884.89515624239
2017-08-08,115826.71861205294
2017-08-09,115652.05372557833
2017-08-10,114391.96780333712
2017-08-11,114195.60557494356
2017-08-14,115917.74027143099
2017-08-16,116411.5258244095
2017-08-17,116768.36935315706
2017-08-18,116778.18262372591
2017-08-21,116119.27130780794
2017-08-22,115790.09701428987
2017-08-23,116172.71977887728
2017-08-24,116255.01932416536
2017-08-28,117527.02567444611
2017-08-29,117247.33722077179
2017-08-30,118834.25861511994
2017-08-31,119057.21170197296
2017-09-01,119139.73674927521
2017-09-04,118561.97509156037
2017-09-05,119893.15126056672
2017-09-06,120061.99176044465
2017-09-07,120244.27404041291
2017-09-08,120534.97279376985
2017-09-11,120840.10709400178
2017-09-12,121329.52155100252
2017-09-13,120306.83306681062
2017-09-14,120396.69654795076
2017-09-15,121072.95352121737
2017-09-18,121290.11085459139
2017-09-19,121346.25163980867
2017-09-20,120804.49892374422
2017-09-21,120625.95379587557
2017-09-22,117973.79880472567
2017-09-25,116818.1441987076
2017-09-26,117157.68340616609
2017-09-27,115843.47579508211
2017-09-28,116368.73911600496
2017-09-29,117432.21659219361
2017-10-03,118092.29967630006
2017-10-04,117968.03902566529
2017-10-05,117789.33458840943
2017-10-06,118565.85912454224
2017-10-09,118336.08687722779
2017-10-10,119100.26858041383
2017-10-11,118683.64509103395
2017-10-12,119904.78165719606
2017-10-13,120633.98826119996
2017-10-16,121371.85129830934
2017-10-17,121849.62462899782
2017-10-18,121732.99276254274
2017-10-19,121299.62650582887
2017-10-23,122409.03960702516
2017-10-24,122434.55326364137
2017-10-25,121231.75512216188
2017-10-26,121088.56376168824
2017-10-27,121186.93734262086
2017-10-30,122349.30724618532
2017-10-31,122308.96888253785
2017-11-01,122879.57461068727
2017-11-02,122619.85492990114
2017-11-03,121999.84559152223
2017-11-06,123397.72651193239
2017-11-07,122971.06431100465
2017-11-08,122584.95078915407
2017-11-09,122916.61404293825
2017-11-10,123071.82902401735
2017-11-13,121703.86379879763
2017-11-14,121539.53272885134
2017-11-15,120042.2361742859
2017-11-16,120931.40656918337
2017-11-17,121704.52149462892
2017-11-20,122478.76971981813
2017-11-21,122998.82132504274
2017-11-22,122953.3346307068
2017-11-23,122871.04446957399
2017-11-24,123351.00153134156
2017-11-27,123336.82149288942
2017-11-28,123899.76946076966
2017-11-29,123636.98351487733
2017-11-30,123474.02202043153
2017-12-01,122763.44283113099
2017-12-04,122745.63105973817
2017-12-05,121984.88398508454
2017-12-06,121070.05329660798
2017-12-07,122258.46919016266
2017-12-08,122546.7485341568
2017-12-11,122660.70002928925
2017-12-12,122355.97065917206
2017-12-13,121756.96273986054
2017-12-14,121416.06726877022
2017-12-15,121947.88129083443
2017-12-18,122621.85636941719
2017-12-19,123255.97802131463
2017-12-20,123485.79338996697
2017-12-21,124646.7913910656
2017-12-22,124862.23201339532
2017-12-26,125092.74231838799
2017-12-27,125023.63822102165
2017-12-28,125718.32024693108
2017-12-29,127321.81793903923
2018-01-01,127142.4701912365
2018-01-02,127015.464810606
2018-01-03,127830.40561604119
2018-01-04,128391.82504200554
2018-01-05,129039.6103222332
2018-01-08,129064.02289700127
2018-01-09,128687.88405346489
2018-01-10,128833.00629734612
