symbol,entry_date,exit_date,entry_price,exit_price,shares,exit_reason
JSWENERGY_NS,2017-01-17,2017-01-19,59.34828186035156,55.63901519775391,635,SELL: EMA bearish crossover - Fast=57.67 crossed below Slow=57.76
JUBLFOOD_NS,2017-02-06,2017-05-11,98.61935424804688,96.94036102294922,383,SELL: EMA bearish crossover - Fast=100.40 crossed below Slow=100.45
SUZLON_NS,2017-01-16,2017-06-15,13.956851959228516,17.40015411376953,2698,SELL: EMA bearish crossover - Fast=17.78 crossed below Slow=17.79
CGPOWER_NS,2017-02-08,2017-08-08,71.03418731689453,76.72682189941406,532,SELL: EMA bearish crossover - Fast=82.30 crossed below Slow=82.37
APLAPOLLO_NS,2017-01-03,2017-08-28,88.85900115966797,145.62351989746094,422,SELL: EMA bearish crossover - Fast=147.83 crossed below Slow=147.90
CGPOWER_NS,2017-09-07,2017-09-25,87.71609497070312,78.21186828613281,460,SELL: EMA bearish crossover - Fast=81.53 crossed below Slow=81.60
SUZLON_NS,2018-01-04,2018-01-31,14.507780075073242,13.405922889709473,2914,SELL: EMA bearish crossover - Fast=13.82 crossed below Slow=13.83
TRENT_NS,2017-07-18,2018-02-02,249.3262176513672,310.4613037109375,160,SELL: EMA bearish crossover - Fast=322.78 crossed below Slow=322.90
OIL_NS,2017-09-04,2018-02-06,86.82887268066406,99.7791748046875,465,SELL: EMA bearish crossover - Fast=103.90 crossed below Slow=103.91
TATASTEEL_NS,2017-05-23,2018-02-20,36.88090515136719,52.327484130859375,1062,SELL: EMA bearish crossover - Fast=55.45 crossed below Slow=55.59
JSWENERGY_NS,2018-04-20,2018-05-07,78.12651062011719,69.5755844116211,542,SELL: EMA bearish crossover - Fast=75.24 crossed below Slow=75.44
TRENT_NS,2018-03-13,2018-05-21,345.0501708984375,329.65533447265625,121,SELL: EMA bearish crossover - Fast=335.51 crossed below Slow=335.70
APLAPOLLO_NS,2018-04-12,2018-05-21,209.34771728515625,186.6809234619141,202,SELL: EMA bearish crossover - Fast=201.04 crossed below Slow=201.80
BSE_NS,2018-08-03,2018-08-08,79.06885528564453,76.24051666259766,550,SELL: EMA bearish crossover - Fast=77.40 crossed below Slow=77.45
JSWENERGY_NS,2018-09-03,2018-09-12,66.81873321533203,62.05264663696289,656,SELL: EMA bearish crossover - Fast=63.87 crossed below Slow=63.97
JUBLFOOD_NS,2017-07-07,2018-09-17,107.0387191772461,266.5580139160156,369,SELL: EMA bearish crossover - Fast=280.94 crossed below Slow=281.04
JSWENERGY_NS,2018-09-17,2018-09-19,65.04312133789062,63.17407989501953,667,SELL: EMA bearish crossover - Fast=64.03 crossed below Slow=64.04
PERSISTENT_NS,2018-05-04,2018-09-26,358.0794982910156,367.2230529785156,118,SELL: EMA bearish crossover - Fast=385.84 crossed below Slow=386.58
TRENT_NS,2018-07-24,2018-10-03,333.5533447265625,334.71844482421875,129,SELL: EMA bearish crossover - Fast=346.99 crossed below Slow=347.35
OIL_NS,2018-09-25,2018-10-08,98.4891128540039,86.90873718261719,435,SELL: EMA bearish crossover - Fast=93.67 crossed below Slow=94.00
ADANIENT_NS,2018-07-19,2019-01-10,95.42642211914062,149.23239135742188,446,SELL: EMA bearish crossover - Fast=153.55 crossed below Slow=153.72
JUBLFOOD_NS,2018-12-05,2019-01-14,260.1713562011719,238.7123260498047,164,SELL: EMA bearish crossover - Fast=243.76 crossed below Slow=243.82
CGPOWER_NS,2018-12-31,2019-01-25,44.40255737304688,36.98733029174805,963,Stop Loss
PERSISTENT_NS,2019-02-07,2019-04-16,304.1302490234375,289.0198974609375,138,SELL: EMA bearish crossover - Fast=294.26 crossed below Slow=294.55
ADANIPOWER_NS,2019-03-08,2019-05-06,10.0,8.5,4204,Stop Loss
TVSMOTOR_NS,2019-04-22,2019-05-07,496.5382385253906,473.2252197265625,84,SELL: EMA bearish crossover - Fast=477.57 crossed below Slow=477.71
COCHINSHIP_NS,2019-03-12,2019-05-10,155.40618896484375,145.32913208007812,271,SELL: EMA bearish crossover - Fast=150.92 crossed below Slow=151.12
BSE_NS,2019-03-12,2019-05-22,60.08432388305664,58.52036666870117,703,SELL: EMA bearish crossover - Fast=58.88 crossed below Slow=58.89
COCHINSHIP_NS,2019-06-04,2019-07-11,159.55674743652344,148.9608612060547,258,SELL: EMA bearish crossover - Fast=151.23 crossed below Slow=151.36
ADANIENT_NS,2019-05-23,2019-07-16,159.05941772460938,138.41773986816406,258,SELL: EMA bearish crossover - Fast=143.64 crossed below Slow=143.66
PERSISTENT_NS,2019-06-20,2019-07-19,295.0030212402344,272.1845397949219,138,SELL: EMA bearish crossover - Fast=288.06 crossed below Slow=288.88
ADANIPOWER_NS,2019-05-31,2019-11-28,10.06999969482422,12.3100004196167,4085,SELL: EMA bearish crossover - Fast=12.59 crossed below Slow=12.60
HAL_NS,2020-01-14,2020-02-18,364.256103515625,298.9589233398437,121,SELL: EMA bearish crossover - Fast=328.68 crossed below Slow=329.58
JUBLFOOD_NS,2019-09-18,2020-03-12,245.4017333984375,291.8748474121094,169,SELL: EMA bearish crossover - Fast=340.76 crossed below Slow=342.81
PERSISTENT_NS,2019-09-20,2020-03-16,282.48809814453125,287.8364562988281,148,SELL: EMA bearish crossover - Fast=326.70 crossed below Slow=328.22
DIXON_NS,2019-08-27,2020-03-18,507.6103820800781,717.1721801757812,81,SELL: EMA bearish crossover - Fast=811.94 crossed below Slow=816.21
TRENT_NS,2019-03-14,2020-03-19,372.69049072265625,467.6098937988281,112,SELL: EMA bearish crossover - Fast=619.83 crossed below Slow=622.92
BSE_NS,2020-05-19,2020-06-17,45.290035247802734,39.078800201416016,939,SELL: EMA bearish crossover - Fast=39.74 crossed below Slow=39.77
HAL_NS,2020-06-08,2020-09-16,297.45782470703125,378.9370422363281,144,SELL: EMA bearish crossover - Fast=418.85 crossed below Slow=420.81
ADANIGREEN_NS,2020-04-16,2021-04-23,193.8500061035156,1052.4000244140625,217,SELL: EMA bearish crossover - Fast=1118.88 crossed below Slow=1122.84
ATGL_NS,2020-06-03,2021-07-02,135.77273559570312,919.47412109375,314,SELL: EMA bearish crossover - Fast=1232.65 crossed below Slow=1238.78
TVSMOTOR_NS,2021-04-29,2021-07-19,621.70849609375,589.9732055664062,130,SELL: EMA bearish crossover - Fast=599.51 crossed below Slow=599.94
TATASTEEL_NS,2020-10-21,2021-10-04,34.78375244140625,116.5440673828125,1472,SELL: EMA bearish crossover - Fast=117.72 crossed below Slow=117.78
TATASTEEL_NS,2021-10-18,2021-10-22,124.19251251220705,114.0884780883789,788,SELL: EMA bearish crossover - Fast=117.49 crossed below Slow=117.56
APLAPOLLO_NS,2020-06-04,2021-10-26,154.18556213378906,796.4996337890625,276,SELL: EMA bearish crossover - Fast=831.99 crossed below Slow=834.18
COCHINSHIP_NS,2021-11-15,2021-11-22,168.69564819335938,160.7671661376953,567,SELL: EMA bearish crossover - Fast=164.51 crossed below Slow=164.52
JSWENERGY_NS,2020-06-17,2021-11-26,45.20190048217773,295.2604064941406,972,SELL: EMA bearish crossover - Fast=315.07 crossed below Slow=316.26
COCHINSHIP_NS,2021-11-23,2021-11-26,164.8456573486328,160.92845153808594,574,SELL: EMA bearish crossover - Fast=164.27 crossed below Slow=164.43
JUBLFOOD_NS,2022-01-17,2022-01-21,772.26513671875,734.1372680664062,124,SELL: EMA bearish crossover - Fast=740.45 crossed below Slow=740.48
ATGL_NS,2021-08-26,2022-02-22,1302.44677734375,1585.73095703125,67,SELL: EMA bearish crossover - Fast=1733.94 crossed below Slow=1735.91
CGPOWER_NS,2021-08-03,2022-02-25,82.2214584350586,167.51199340820312,1088,SELL: EMA bearish crossover - Fast=171.54 crossed below Slow=171.61
JSWENERGY_NS,2022-02-11,2022-03-21,333.7938842773437,297.99884033203125,284,SELL: EMA bearish crossover - Fast=308.52 crossed below Slow=308.88
KPITTECH_NS,2022-03-22,2022-04-20,590.2432861328125,534.90185546875,159,SELL: EMA bearish crossover - Fast=570.77 crossed below Slow=571.98
OIL_NS,2022-01-13,2022-05-11,121.14820861816406,123.5359878540039,794,SELL: EMA bearish crossover - Fast=128.40 crossed below Slow=128.52
LODHA_NS,2022-06-15,2022-06-22,524.7603149414062,502.0061950683594,184,SELL: EMA bearish crossover - Fast=511.64 crossed below Slow=511.65
ATGL_NS,2022-03-22,2022-10-18,1881.8504638671875,3149.63134765625,49,SELL: EMA bearish crossover - Fast=3263.85 crossed below Slow=3269.55
TRENT_NS,2022-07-11,2022-12-22,1203.7579345703125,1328.4307861328125,80,SELL: EMA bearish crossover - Fast=1419.09 crossed below Slow=1422.89
ATGL_NS,2022-10-27,2022-12-27,3504.16845703125,3349.4765625,31,SELL: EMA bearish crossover - Fast=3524.73 crossed below Slow=3533.37
TVSMOTOR_NS,2023-01-02,2023-01-03,1059.184326171875,1028.09130859375,107,SELL: EMA bearish crossover - Fast=1040.51 crossed below Slow=1041.07
HAL_NS,2022-01-17,2023-01-09,656.0369262695312,1209.2081298828125,146,SELL: EMA bearish crossover - Fast=1236.50 crossed below Slow=1237.98
ADANIENT_NS,2022-03-21,2023-01-17,1799.738525390625,3634.36474609375,52,SELL: EMA bearish crossover - Fast=3761.83 crossed below Slow=3767.18
MAZDOCK_NS,2022-07-28,2023-01-27,133.63323974609375,352.0709533691406,746,SELL: EMA bearish crossover - Fast=378.06 crossed below Slow=378.11
ATGL_NS,2022-12-29,2023-01-27,3789.12744140625,2925.0107421875,30,Stop Loss
PAYTM_NS,2023-02-08,2023-03-15,675.9500122070312,569.7000122070312,163,Stop Loss
CGPOWER_NS,2023-04-18,2023-10-17,302.3666076660156,390.4345397949219,364,SELL: EMA bearish crossover - Fast=414.45 crossed below Slow=415.23
HAL_NS,2023-02-21,2023-10-26,1270.422119140625,1782.286376953125,86,SELL: EMA bearish crossover - Fast=1879.15 crossed below Slow=1884.46
TATASTEEL_NS,2023-11-22,2024-07-24,120.79258728027344,156.65667724609375,1103,SELL: EMA bearish crossover - Fast=163.51 crossed below Slow=163.83
ADANIGREEN_NS,2024-08-02,2024-08-06,1881.4000244140625,1749.5999755859375,117,SELL: EMA bearish crossover - Fast=1794.94 crossed below Slow=1796.34
