symbol,oversold_bounce_rate,overbought_fall_rate,mr_score,strength,num_oversold,num_overbought
BDL.NS,0.4539877300613497,0.539568345323741,0.49677803769254536,Weak/Trending,163,278
COFORGE.NS,0.5131578947368421,0.5134529147982063,0.5133054047675243,Weak/Trending,228,446
ASTRAL.NS,0.507537688442211,0.47815533980582525,0.49284651412401814,Weak/Trending,199,412
TORNTPHARM.NS,0.51,0.5222772277227723,0.5161386138613862,Weak/Trending,200,404
EXIDEIND.NS,0.5067114093959731,0.5692771084337349,0.5379942589148541,Moderate Mean Reversion,298,332
HEROMOTOCO.NS,0.4904214559386973,0.5050251256281407,0.49772329078341904,Weak/Trending,261,398
HAL.NS,0.4429530201342282,0.5043988269794721,0.4736759235568502,Weak/Trending,149,341
MPHASIS.NS,0.48535564853556484,0.5260416666666666,0.5056986576011158,Weak/Trending,239,384
PERSISTENT.NS,0.46255506607929514,0.4519650655021834,0.4572600657907393,Weak/Trending,227,458
UPL.NS,0.5125,0.5,0.50625,Weak/Trending,240,278
SONACOMS.NS,0.5416666666666666,0.521505376344086,0.5315860215053763,Moderate Mean Reversion,144,186
INDUSINDBK.NS,0.47959183673469385,0.5163043478260869,0.4979480922803904,Weak/Trending,196,184
COLPAL.NS,0.5064935064935064,0.5058139534883721,0.5061537299909393,Weak/Trending,231,344
YESBANK.NS,0.5204918032786885,0.5352941176470588,0.5278929604628737,Weak/Trending,244,170
MAZDOCK.NS,0.660377358490566,0.4838709677419355,0.5721241631162508,Strong Mean Reversion,53,248
OBEROIRLTY.NS,0.5219298245614035,0.526829268292683,0.5243795464270432,Weak/Trending,228,410
TECHM.NS,0.5109170305676856,0.5498721227621484,0.530394576664917,Moderate Mean Reversion,229,391
HDFCLIFE.NS,0.53125,0.5246376811594203,0.5279438405797101,Weak/Trending,192,345
TCS.NS,0.5232974910394266,0.5275,0.5253987455197133,Weak/Trending,279,400
LTIM.NS,0.4630541871921182,0.47549019607843135,0.4692721916352748,Weak/Trending,203,408
